event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,argos:lat1,argos:lat2,argos:lc,argos:location-algorithm,argos:lon1,argos:lon2,comments,modelled,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,year,month,day,sst
30046740608,True,2010-03-07 01:26:00,166.83,-68.9,,-68.9,-68.9,1,least squares,166.83,166.83,,,argos-doppler-shift,Megaptera novaeangliae,96401,96401,Movements of Australia's east coast humpback whales,2010,3,7,-1.4499999284744263
30046740627,True,2010-03-07 02:16:00,166.853,-68.877,,-68.877,-68.877,2,least squares,166.853,166.853,,,argos-doppler-shift,Megaptera novaeangliae,96401,96401,Movements of Australia's east coast humpback whales,2010,3,7,-1.4499999284744263
30046740292,True,2010-03-07 02:29:00,166.38,-69.092,,-69.092,-69.092,A,least squares,166.38,166.38,,,argos-doppler-shift,Megaptera novaeangliae,96401,96401,Movements of Australia's east coast humpback whales,2010,3,7,-1.5199999809265137
30046740626,True,2010-03-07 03:07:00,166.852,-68.874,,-68.874,-68.874,2,least squares,166.852,166.852,,,argos-doppler-shift,Megaptera novaeangliae,96401,96401,Movements of Australia's east coast humpback whales,2010,3,7,-1.4499999284744263
30046740548,True,2010-03-07 03:58:00,166.755,-68.879,,-68.879,-68.879,1,least squares,166.755,166.755,,,argos-doppler-shift,Megaptera novaeangliae,96401,96401,Movements of Australia's east coast humpback whales,2010,3,7,-1.4499999284744263
30046740586,True,2010-03-07 04:09:00,166.804,-68.87,,-68.87,-68.87,1,least squares,166.804,166.804,,,argos-doppler-shift,Megaptera novaeangliae,96401,96401,Movements of Australia's east coast humpback whales,2010,3,7,-1.4499999284744263
30046740596,True,2010-03-07 04:46:00,166.815,-68.852,,-68.852,-68.852,1,least squares,166.815,166.815,,,argos-doppler-shift,Megaptera novaeangliae,96401,96401,Movements of Australia's east coast humpback whales,2010,3,7,-1.4499999284744263
30046740587,True,2010-03-07 05:07:00,166.805,-68.855,,-68.855,-68.855,1,least squares,166.805,166.805,,,argos-doppler-shift,Megaptera novaeangliae,96401,96401,Movements of Australia's east coast humpback whales,2010,3,7,-1.4499999284744263
30046740558,True,2010-03-07 05:40:00,166.772,-68.846,,-68.846,-68.846,2,least squares,166.772,166.772,,,argos-doppler-shift,Megaptera novaeangliae,96401,96401,Movements of Australia's east coast humpback whales,2010,3,7,-1.4499999284744263
30046740537,True,2010-03-07 05:54:00,166.744,-68.852,,-68.852,-68.852,2,least squares,166.744,166.744,,,argos-doppler-shift,Megaptera novaeangliae,96401,96401,Movements of Australia's east coast humpback whales,2010,3,7,-1.4800000190734863
30046740519,True,2010-03-07 06:27:00,166.727,-68.847,,-68.847,-68.847,2,least squares,166.727,166.727,,,argos-doppler-shift,Megaptera novaeangliae,96401,96401,Movements of Australia's east coast humpback whales,2010,3,7,-1.4800000190734863
30046740512,True,2010-03-07 06:51:00,166.72,-68.852,,-68.852,-68.852,2,least squares,166.72,166.72,,,argos-doppler-shift,Megaptera novaeangliae,96401,96401,Movements of Australia's east coast humpback whales,2010,3,7,-1.4800000190734863
30046740522,True,2010-03-07 07:19:00,166.729,-68.864,,-68.864,-68.864,2,least squares,166.729,166.729,,,argos-doppler-shift,Megaptera novaeangliae,96401,96401,Movements of Australia's east coast humpback whales,2010,3,7,-1.4800000190734863
30046740530,True,2010-03-07 07:33:00,166.738,-68.854,,-68.854,-68.854,1,least squares,166.738,166.738,,,argos-doppler-shift,Megaptera novaeangliae,96401,96401,Movements of Australia's east coast humpback whales,2010,3,7,-1.4800000190734863
30046740509,True,2010-03-07 07:40:00,166.718,-68.856,,-68.856,-68.856,1,least squares,166.718,166.718,,,argos-doppler-shift,Megaptera novaeangliae,96401,96401,Movements of Australia's east coast humpback whales,2010,3,7,-1.4800000190734863
30046740539,True,2010-03-07 08:06:00,166.745,-68.877,,-68.877,-68.877,2,least squares,166.745,166.745,,,argos-doppler-shift,Megaptera novaeangliae,96401,96401,Movements of Australia's east coast humpback whales,2010,3,7,-1.4800000190734863
30046740560,True,2010-03-07 08:21:00,166.774,-68.863,,-68.863,-68.863,1,least squares,166.774,166.774,,,argos-doppler-shift,Megaptera novaeangliae,96401,96401,Movements of Australia's east coast humpback whales,2010,3,7,-1.4499999284744263
30046740590,True,2010-03-07 08:31:00,166.808,-68.866,,-68.866,-68.866,1,least squares,166.808,166.808,,,argos-doppler-shift,Megaptera novaeangliae,96401,96401,Movements of Australia's east coast humpback whales,2010,3,7,-1.4499999284744263
30046740484,True,2010-03-07 08:58:00,166.69,-68.884,,-68.884,-68.884,2,least squares,166.69,166.69,,,argos-doppler-shift,Megaptera novaeangliae,96401,96401,Movements of Australia's east coast humpback whales,2010,3,7,-1.4800000190734863
30046740549,True,2010-03-07 09:13:00,166.755,-68.86,,-68.86,-68.86,3,least squares,166.755,166.755,,,argos-doppler-shift,Megaptera novaeangliae,96401,96401,Movements of Australia's east coast humpback whales,2010,3,7,-1.4499999284744263
30046740500,True,2010-03-07 09:22:00,166.714,-68.866,,-68.866,-68.866,2,least squares,166.714,166.714,,,argos-doppler-shift,Megaptera novaeangliae,96401,96401,Movements of Australia's east coast humpback whales,2010,3,7,-1.4800000190734863
30046740456,True,2010-03-07 09:47:00,166.652,-68.85,,-68.85,-68.85,2,least squares,166.652,166.652,,,argos-doppler-shift,Megaptera novaeangliae,96401,96401,Movements of Australia's east coast humpback whales,2010,3,7,-1.4800000190734863
30046740434,True,2010-03-07 10:04:00,166.635,-68.868,,-68.868,-68.868,1,least squares,166.635,166.635,,,argos-doppler-shift,Megaptera novaeangliae,96401,96401,Movements of Australia's east coast humpback whales,2010,3,7,-1.4800000190734863
30046740432,True,2010-03-07 10:12:00,166.633,-68.865,,-68.865,-68.865,2,least squares,166.633,166.633,,,argos-doppler-shift,Megaptera novaeangliae,96401,96401,Movements of Australia's east coast humpback whales,2010,3,7,-1.4800000190734863
30046740362,True,2010-03-07 10:38:00,166.565,-68.864,,-68.864,-68.864,2,least squares,166.565,166.565,,,argos-doppler-shift,Megaptera novaeangliae,96401,96401,Movements of Australia's east coast humpback whales,2010,3,7,-1.4800000190734863
30046740333,True,2010-03-07 10:51:00,166.519,-68.875,,-68.875,-68.875,1,least squares,166.519,166.519,,,argos-doppler-shift,Megaptera novaeangliae,96401,96401,Movements of Australia's east coast humpback whales,2010,3,7,-1.4800000190734863
