event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,argos:lat1,argos:lat2,argos:lc,argos:location-algorithm,argos:lon1,argos:lon2,comments,modelled,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,year,month,day,sst
30046730787,True,2008-10-29 02:55:00,150.014,-37.064,,-37.064,-37.064,0,least squares,150.014,150.014,,,argos-doppler-shift,Megaptera novaeangliae,88729,88729,Movements of Australia's east coast humpback whales,2008,10,29,16.969999313354492
30046730709,True,2008-10-29 06:40:00,149.924,-37.112,,-37.112,-37.112,1,least squares,149.924,149.924,,,argos-doppler-shift,Megaptera novaeangliae,88729,88729,Movements of Australia's east coast humpback whales,2008,10,29,
30046730691,True,2008-10-29 08:20:00,149.902,-37.093,,-37.093,-37.093,2,least squares,149.902,149.902,,,argos-doppler-shift,Megaptera novaeangliae,88729,88729,Movements of Australia's east coast humpback whales,2008,10,29,
30046730697,True,2008-10-29 08:40:00,149.91,-37.105,,-37.105,-37.105,1,least squares,149.91,149.91,,,argos-doppler-shift,Megaptera novaeangliae,88729,88729,Movements of Australia's east coast humpback whales,2008,10,29,
30046730740,True,2008-10-29 10:35:00,149.978,-37.116,,-37.116,-37.116,1,least squares,149.978,149.978,,,argos-doppler-shift,Megaptera novaeangliae,88729,88729,Movements of Australia's east coast humpback whales,2008,10,29,
30046730752,True,2008-10-29 11:05:00,149.991,-37.123,,-37.123,-37.123,1,least squares,149.991,149.991,,,argos-doppler-shift,Megaptera novaeangliae,88729,88729,Movements of Australia's east coast humpback whales,2008,10,29,
30046730777,True,2008-10-29 12:13:00,150.009,-37.141,,-37.141,-37.141,2,least squares,150.009,150.009,,,argos-doppler-shift,Megaptera novaeangliae,88729,88729,Movements of Australia's east coast humpback whales,2008,10,29,16.969999313354492
30046730779,True,2008-10-29 12:45:00,150.01,-37.134,,-37.134,-37.134,2,least squares,150.01,150.01,,,argos-doppler-shift,Megaptera novaeangliae,88729,88729,Movements of Australia's east coast humpback whales,2008,10,29,16.969999313354492
30046730751,True,2008-10-29 13:55:00,149.987,-37.128,,-37.128,-37.128,B,least squares,149.987,149.987,,,argos-doppler-shift,Megaptera novaeangliae,88729,88729,Movements of Australia's east coast humpback whales,2008,10,29,
30046730781,True,2008-10-29 14:20:00,150.011,-37.14,,-37.14,-37.14,2,least squares,150.011,150.011,,,argos-doppler-shift,Megaptera novaeangliae,88729,88729,Movements of Australia's east coast humpback whales,2008,10,29,16.969999313354492
30046730817,True,2008-10-29 15:59:00,150.039,-37.187,,-37.187,-37.187,2,least squares,150.039,150.039,,,argos-doppler-shift,Megaptera novaeangliae,88729,88729,Movements of Australia's east coast humpback whales,2008,10,29,16.969999313354492
30046730844,True,2008-10-29 17:58:00,150.055,-37.239,,-37.239,-37.239,A,least squares,150.055,150.055,,,argos-doppler-shift,Megaptera novaeangliae,88729,88729,Movements of Australia's east coast humpback whales,2008,10,29,16.969999313354492
30046730899,True,2008-10-29 19:36:00,150.104,-37.292,,-37.292,-37.292,1,least squares,150.104,150.104,,,argos-doppler-shift,Megaptera novaeangliae,88729,88729,Movements of Australia's east coast humpback whales,2008,10,29,16.709999084472656
30046730918,True,2008-10-29 20:06:00,150.12,-37.291,,-37.291,-37.291,0,least squares,150.12,150.12,,,argos-doppler-shift,Megaptera novaeangliae,88729,88729,Movements of Australia's east coast humpback whales,2008,10,29,16.709999084472656
30046730926,True,2008-10-29 20:07:00,150.129,-37.303,,-37.303,-37.303,1,least squares,150.129,150.129,,,argos-doppler-shift,Megaptera novaeangliae,88729,88729,Movements of Australia's east coast humpback whales,2008,10,29,16.709999084472656
30046730464,True,2008-10-30 12:20:00,149.698,-37.683,,-37.683,-37.683,A,least squares,149.698,149.698,,,argos-doppler-shift,Megaptera novaeangliae,88729,88729,Movements of Australia's east coast humpback whales,2008,10,30,
30046730407,True,2008-10-30 13:34:00,149.653,-37.712,,-37.712,-37.712,B,least squares,149.653,149.653,,,argos-doppler-shift,Megaptera novaeangliae,88729,88729,Movements of Australia's east coast humpback whales,2008,10,30,
30046730359,True,2008-10-30 13:58:00,149.584,-37.742,,-37.742,-37.742,B,least squares,149.584,149.584,,,argos-doppler-shift,Megaptera novaeangliae,88729,88729,Movements of Australia's east coast humpback whales,2008,10,30,
30046730378,True,2008-10-30 14:07:00,149.618,-37.709,,-37.709,-37.709,2,least squares,149.618,149.618,,,argos-doppler-shift,Megaptera novaeangliae,88729,88729,Movements of Australia's east coast humpback whales,2008,10,30,
30046730347,True,2008-10-30 15:50:00,149.571,-37.749,,-37.749,-37.749,3,least squares,149.571,149.571,,,argos-doppler-shift,Megaptera novaeangliae,88729,88729,Movements of Australia's east coast humpback whales,2008,10,30,
30046730325,True,2008-10-30 16:34:00,149.515,-37.753,,-37.753,-37.753,B,least squares,149.515,149.515,,,argos-doppler-shift,Megaptera novaeangliae,88729,88729,Movements of Australia's east coast humpback whales,2008,10,30,16.209999084472656
30046730310,True,2008-10-30 17:34:00,149.499,-37.782,,-37.782,-37.782,2,least squares,149.499,149.499,,,argos-doppler-shift,Megaptera novaeangliae,88729,88729,Movements of Australia's east coast humpback whales,2008,10,30,16.270000457763672
30046729935,True,2008-10-31 12:04:00,148.906,-38.043,,-38.043,-38.043,B,least squares,148.906,148.906,,,argos-doppler-shift,Megaptera novaeangliae,88729,88729,Movements of Australia's east coast humpback whales,2008,10,31,16.119998931884766
30046730044,True,2008-10-31 13:12:00,149.066,-37.819,,-37.819,-37.819,2,least squares,149.066,149.066,,,argos-doppler-shift,Megaptera novaeangliae,88729,88729,Movements of Australia's east coast humpback whales,2008,10,31,15.859999656677246
