event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,argos:lat1,argos:lat2,argos:lc,argos:location-algorithm,argos:lon1,argos:lon2,comments,modelled,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,year,month,day,sst
30046739254,True,2010-02-21 09:48:00,164.246,-66.9,,-66.9,-66.9,1,least squares,164.246,164.246,,,argos-doppler-shift,Megaptera novaeangliae,53348,53348,Movements of Australia's east coast humpback whales,2010,2,21,-1.090000033378601
30046739235,True,2010-02-21 09:54:00,164.224,-66.883,,-66.883,-66.883,0,least squares,164.224,164.224,,,argos-doppler-shift,Megaptera novaeangliae,53348,53348,Movements of Australia's east coast humpback whales,2010,2,21,-1.090000033378601
30046739439,True,2010-02-21 11:20:00,164.485,-66.906,,-66.906,-66.906,B,least squares,164.485,164.485,,,argos-doppler-shift,Megaptera novaeangliae,53348,53348,Movements of Australia's east coast humpback whales,2010,2,21,-1.1200000047683716
30046739444,True,2010-02-21 11:32:00,164.489,-66.882,,-66.882,-66.882,0,least squares,164.489,164.489,,,argos-doppler-shift,Megaptera novaeangliae,53348,53348,Movements of Australia's east coast humpback whales,2010,2,21,-1.1200000047683716
30046738840,True,2010-02-21 11:33:00,163.931,-66.968,,-66.968,-66.968,B,least squares,163.931,163.931,,,argos-doppler-shift,Megaptera novaeangliae,53348,53348,Movements of Australia's east coast humpback whales,2010,2,21,-1.0499999523162842
30046739516,True,2010-02-21 12:12:00,164.618,-66.877,,-66.877,-66.877,B,least squares,164.618,164.618,,,argos-doppler-shift,Megaptera novaeangliae,53348,53348,Movements of Australia's east coast humpback whales,2010,2,21,-1.1399999856948853
30046739590,True,2010-02-21 13:05:00,164.711,-66.879,,-66.879,-66.879,B,least squares,164.711,164.711,,,argos-doppler-shift,Megaptera novaeangliae,53348,53348,Movements of Australia's east coast humpback whales,2010,2,21,-1.1399999856948853
30046739620,True,2010-02-21 13:13:00,164.758,-66.884,,-66.884,-66.884,1,least squares,164.758,164.758,,,argos-doppler-shift,Megaptera novaeangliae,53348,53348,Movements of Australia's east coast humpback whales,2010,2,21,-1.100000023841858
30046739666,True,2010-02-21 14:42:00,164.892,-66.887,,-66.887,-66.887,1,least squares,164.892,164.892,,,argos-doppler-shift,Megaptera novaeangliae,53348,53348,Movements of Australia's east coast humpback whales,2010,2,21,-1.100000023841858
30046739741,True,2010-02-21 15:36:00,165.046,-66.907,,-66.907,-66.907,B,least squares,165.046,165.046,,,argos-doppler-shift,Megaptera novaeangliae,53348,53348,Movements of Australia's east coast humpback whales,2010,2,21,-1.1100000143051147
30046739696,True,2010-02-21 16:13:00,164.965,-66.889,,-66.889,-66.889,B,least squares,164.965,164.965,,,argos-doppler-shift,Megaptera novaeangliae,53348,53348,Movements of Australia's east coast humpback whales,2010,2,21,-1.100000023841858
