event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,argos:lat1,argos:lat2,argos:lc,argos:location-algorithm,argos:lon1,argos:lon2,comments,modelled,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,year,month,day,sst
30046740687,True,2010-03-01 04:09:00,166.973,-68.111,,-68.111,-68.111,1,least squares,166.973,166.973,,,argos-doppler-shift,Megaptera novaeangliae,96404,96404,Movements of Australia's east coast humpback whales,2010,3,1,-1.6999999284744263
30046740782,True,2010-03-01 04:57:00,167.129,-68.073,,-68.073,-68.073,A,least squares,167.129,167.129,,,argos-doppler-shift,Megaptera novaeangliae,96404,96404,Movements of Australia's east coast humpback whales,2010,3,1,-1.6399999856948853
30046740787,True,2010-03-01 04:58:00,167.161,-68.062,,-68.062,-68.062,B,least squares,167.161,167.161,,,argos-doppler-shift,Megaptera novaeangliae,96404,96404,Movements of Australia's east coast humpback whales,2010,3,1,-1.6399999856948853
30046740807,True,2010-03-01 05:52:00,167.218,-68.053,,-68.053,-68.053,2,least squares,167.218,167.218,,,argos-doppler-shift,Megaptera novaeangliae,96404,96404,Movements of Australia's east coast humpback whales,2010,3,1,-1.6399999856948853
30046740843,True,2010-03-01 06:36:00,167.313,-68.041,,-68.041,-68.041,2,least squares,167.313,167.313,,,argos-doppler-shift,Megaptera novaeangliae,96404,96404,Movements of Australia's east coast humpback whales,2010,3,1,-1.5799999237060547
30046740868,True,2010-03-01 07:32:00,167.394,-68.043,,-68.043,-68.043,B,least squares,167.394,167.394,,,argos-doppler-shift,Megaptera novaeangliae,96404,96404,Movements of Australia's east coast humpback whales,2010,3,1,-1.5799999237060547
30046740892,True,2010-03-01 08:02:00,167.444,-68.046,,-68.046,-68.046,2,least squares,167.444,167.444,,,argos-doppler-shift,Megaptera novaeangliae,96404,96404,Movements of Australia's east coast humpback whales,2010,3,1,-1.5799999237060547
30046740906,True,2010-03-01 08:17:00,167.465,-68.059,,-68.059,-68.059,1,least squares,167.465,167.465,,,argos-doppler-shift,Megaptera novaeangliae,96404,96404,Movements of Australia's east coast humpback whales,2010,3,1,-1.5799999237060547
30046740979,True,2010-03-01 09:10:00,167.62,-68.066,,-68.066,-68.066,A,least squares,167.62,167.62,,,argos-doppler-shift,Megaptera novaeangliae,96404,96404,Movements of Australia's east coast humpback whales,2010,3,1,-1.559999942779541
30046740984,True,2010-03-01 09:55:00,167.634,-68.067,,-68.067,-68.067,3,least squares,167.634,167.634,,,argos-doppler-shift,Megaptera novaeangliae,96404,96404,Movements of Australia's east coast humpback whales,2010,3,1,-1.559999942779541
30046740990,True,2010-03-01 09:57:00,167.646,-68.072,,-68.072,-68.072,B,least squares,167.646,167.646,,,argos-doppler-shift,Megaptera novaeangliae,96404,96404,Movements of Australia's east coast humpback whales,2010,3,1,-1.559999942779541
30046741006,True,2010-03-01 10:06:00,167.68,-68.061,,-68.061,-68.061,B,least squares,167.68,167.68,,,argos-doppler-shift,Megaptera novaeangliae,96404,96404,Movements of Australia's east coast humpback whales,2010,3,1,-1.559999942779541
30046741032,True,2010-03-01 10:27:00,167.71,-68.055,,-68.055,-68.055,1,least squares,167.71,167.71,,,argos-doppler-shift,Megaptera novaeangliae,96404,96404,Movements of Australia's east coast humpback whales,2010,3,1,-1.559999942779541
30046741072,True,2010-03-01 10:50:00,167.763,-68.062,,-68.062,-68.062,B,least squares,167.763,167.763,,,argos-doppler-shift,Megaptera novaeangliae,96404,96404,Movements of Australia's east coast humpback whales,2010,3,1,-1.5499999523162842
30046741301,True,2010-03-01 11:27:00,168.108,-67.994,,-67.994,-67.994,A,least squares,168.108,168.108,,,argos-doppler-shift,Megaptera novaeangliae,96404,96404,Movements of Australia's east coast humpback whales,2010,3,1,-1.6299999952316284
30046741147,True,2010-03-01 11:35:00,167.954,-68.058,,-68.058,-68.058,A,least squares,167.954,167.954,,,argos-doppler-shift,Megaptera novaeangliae,96404,96404,Movements of Australia's east coast humpback whales,2010,3,1,-1.5499999523162842
30046741136,True,2010-03-01 11:40:00,167.939,-68.076,,-68.076,-68.076,B,least squares,167.939,167.939,,,argos-doppler-shift,Megaptera novaeangliae,96404,96404,Movements of Australia's east coast humpback whales,2010,3,1,-1.5499999523162842
30046741143,True,2010-03-01 11:45:00,167.949,-68.052,,-68.052,-68.052,0,least squares,167.949,167.949,,,argos-doppler-shift,Megaptera novaeangliae,96404,96404,Movements of Australia's east coast humpback whales,2010,3,1,-1.5499999523162842
30046741118,True,2010-03-01 12:08:00,167.899,-68.082,,-68.082,-68.082,0,least squares,167.899,167.899,,,argos-doppler-shift,Megaptera novaeangliae,96404,96404,Movements of Australia's east coast humpback whales,2010,3,1,-1.5499999523162842
30046741204,True,2010-03-01 12:30:00,168.017,-68.074,,-68.074,-68.074,1,least squares,168.017,168.017,,,argos-doppler-shift,Megaptera novaeangliae,96404,96404,Movements of Australia's east coast humpback whales,2010,3,1,-1.5699999332427979
30046741240,True,2010-03-01 13:02:00,168.05,-68.079,,-68.079,-68.079,A,least squares,168.05,168.05,,,argos-doppler-shift,Megaptera novaeangliae,96404,96404,Movements of Australia's east coast humpback whales,2010,3,1,-1.5699999332427979
30046741263,True,2010-03-01 13:12:00,168.08,-68.079,,-68.079,-68.079,2,least squares,168.08,168.08,,,argos-doppler-shift,Megaptera novaeangliae,96404,96404,Movements of Australia's east coast humpback whales,2010,3,1,-1.5699999332427979
